marker_ID,BE,EC,Fib,LE,Leu,SM
LMAN1,0.0,0.0,0.0,0.9400311814659019,0.0,0.0
OCIAD2,0.0,0.0,0.0,0.681036114782194,0.0,0.0
SCP2,0.0,0.0,0.0,0.7993944060951651,0.0,0.0
TRAF4,0.0,0.0,0.0,0.7148861382089625,0.0,0.0
LOC124446,0.0,0.0,0.0,0.8631433478379855,0.0,0.0
PRR13,0.0,0.0,0.0,0.8474451891019635,0.0,0.0
RPS19BP1,0.0,0.0,0.0,0.7823586645159742,0.0,0.0
POLR2L,0.0,0.0,0.0,1.2333802725245357,0.0,0.0
SCARB2,0.0,0.0,0.0,0.7065059900660665,0.0,0.0
FIS1,0.0,0.0,0.0,1.0154722106279028,0.0,0.0
SPATS2L,0.0,0.0,0.0,1.0728608961553268,0.0,0.0
GNB2,0.0,0.0,0.0,1.0485059732684532,0.0,0.0
ADI1,0.0,0.0,0.0,0.8146094406072564,0.0,0.0
REEP3,0.0,0.0,0.0,0.7553765584649943,0.0,0.0
GLO1,0.0,0.0,0.0,0.6596896472986309,0.0,0.0
ATP5MD,0.0,0.0,0.0,1.1527266465776278,0.0,0.0
AHNAK,0.0,0.0,0.0,0.7554426565156471,0.0,0.0
TMEM258,0.0,0.0,0.0,1.171196336510962,0.0,0.0
TRAM1,0.0,0.0,0.0,0.8243359625229774,0.0,0.0
TMEM14C,0.0,0.0,0.0,0.8014828018598479,0.0,0.0
ACADVL,1.091377729276309,0.0,0.0,1.3131735244430918,0.0,0.0
SDC4,0.0,0.0,0.0,0.8052046186194601,0.0,0.0
