marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate
7873,0.0,0.0,0.0,0.0,0.0,2.9863305767170947
64778,0.0,0.0,0.0,0.0,0.0,1.5414268095755783
10423,0.0,0.0,0.0,0.0,0.0,2.421224829146882
5713,0.0,0.0,0.0,0.0,0.0,2.411752172113915
5709,0.0,0.0,0.0,0.0,0.0,2.1323258629971527
51035,0.0,0.0,0.0,0.0,0.0,2.0927851438127556
5719,0.0,0.0,0.0,0.0,0.0,2.274298360495579
5710,0.0,0.0,0.0,0.0,0.0,1.4212676991489428
10955,0.0,0.0,0.0,0.0,0.0,2.268951517785307
7532,0.0,0.0,0.0,0.0,0.0,2.1371728105381624
10121,0.0,0.0,0.0,0.0,0.0,2.0201468880813858
5479,0.0,0.0,0.0,0.0,0.0,2.2923878955070514
5202,0.0,0.0,0.0,0.0,0.0,2.146175870359089
10467,0.0,0.0,0.0,0.0,0.0,2.1323258629971527
55069,0.0,0.0,0.0,0.0,0.0,2.274298360495579
392,0.0,0.0,0.0,0.0,0.0,2.1278523450152638
3189,0.0,0.0,0.0,0.0,0.0,2.3428065114457666
372,0.0,0.0,0.0,0.0,0.0,2.1323258629971527
54205,0.0,0.0,0.0,0.0,0.0,2.274298360495579
7805,0.0,0.0,0.0,0.0,6.687428120738394,0.0
5552,0.0,0.0,0.0,0.0,5.786095880312563,0.0
7305,0.0,0.0,0.0,0.0,5.916121493959828,0.0
54,0.0,0.0,0.0,0.0,6.125577921235244,0.0
5996,0.0,0.0,0.0,0.0,4.982319061322205,0.0
2207,0.0,0.0,0.0,0.0,4.894683111447532,0.0
822,0.0,0.0,0.0,0.0,4.757595336524901,0.0
241,0.0,0.0,0.0,0.0,4.448495957364631,0.0
10993,0.0,0.0,0.0,0.0,5.0466010680201885,0.0
3936,0.0,0.0,0.0,0.0,4.380270059765422,0.0
963,0.0,0.0,0.0,0.0,4.411783245367225,0.0
397,0.0,0.0,0.0,0.0,4.218049504887533,0.0
6688,0.0,0.0,0.0,0.0,4.305183745564728,0.0
4069,0.0,0.0,0.0,0.0,3.485865477039941,0.0
348,0.0,0.0,0.0,0.0,3.2138312317553757,0.0
714,0.0,0.0,0.0,0.0,4.159752949928196,0.0
9123,0.0,0.0,0.0,0.0,4.054935436290664,0.0
864,0.0,0.0,0.0,0.0,3.1553915869709868,0.0
4046,0.0,0.0,0.0,0.0,3.387964983195418,0.0
11314,0.0,0.0,0.0,0.0,3.632575706184679,0.0
1520,0.0,0.0,0.0,0.0,3.66406068198536,0.0
6275,0.0,0.0,0.0,0.0,3.0629425068605105,0.0
3162,0.0,0.0,0.0,0.0,3.600909840837689,0.0
409,0.0,0.0,0.0,0.0,3.544877801118944,0.0
3689,0.0,0.0,0.0,0.0,3.335915846041014,0.0
10123,0.0,0.0,0.0,0.0,3.908389694370122,0.0
10457,0.0,0.0,0.0,0.0,2.9456657520558513,0.0
2760,0.0,0.0,0.0,0.0,3.8399894503914442,0.0
7133,0.0,0.0,0.0,0.0,2.814718072793924,0.0
5376,0.0,0.0,0.0,0.0,3.224972006268209,0.0
5777,0.0,0.0,0.0,0.0,3.462475665512697,0.0
4814,0.0,0.0,0.0,0.0,3.66406068198536,0.0
10501,0.0,0.0,0.0,0.0,2.6529126501379516,0.0
391,0.0,0.0,0.0,0.0,3.915898028154605,0.0
2885,0.0,0.0,0.0,0.0,4.1506931576991875,0.0
6001,0.0,0.0,0.0,0.0,2.9954055499230154,0.0
23406,0.0,0.0,0.0,0.0,4.356384613241593,0.0
7351,0.0,0.0,0.0,0.0,2.6529126501379516,0.0
2217,0.0,0.0,0.0,0.0,3.9075150037727293,0.0
5226,0.0,0.0,0.0,0.0,3.6951414997179115,0.0
3071,0.0,0.0,0.0,0.0,2.1106880135074033,0.0
7456,0.0,0.0,0.0,0.0,2.3521098874870927,0.0
140885,0.0,0.0,0.0,0.0,2.8472944757131304,0.0
427,0.0,0.0,0.0,0.0,3.544877801118944,0.0
80727,0.0,0.0,0.0,0.0,2.2296258122697377,0.0
3059,0.0,0.0,0.0,0.0,1.8625890554695592,0.0
56975,0.0,0.0,0.0,0.0,2.715166578757545,0.0
220002,0.0,0.0,0.0,0.0,1.610157639300822,0.0
6195,0.0,0.0,0.0,0.0,2.7581590934166518,0.0
4067,0.0,0.0,0.0,0.0,1.9732797651049496,0.0
55819,0.0,0.0,0.0,0.0,3.409219278687218,0.0
10628,0.0,0.0,0.0,0.0,2.9954055499230154,0.0
6533,0.0,0.0,0.0,0.0,3.3815542887345194,0.0
5476,0.0,0.0,0.0,0.0,4.1506931576991875,0.0
8031,0.0,0.0,0.0,0.0,2.9954055499230154,0.0
5641,0.0,0.0,0.0,0.0,3.2382926248696053,0.0
6867,0.0,0.0,0.0,0.0,2.446869893559291,0.0
2799,0.0,0.0,0.0,0.0,3.0629425068605105,0.0
