marker_ID,CM,EC,FB,MP,SMC,weight
4719,0.0,0.01630829870476965,0.01630829870476965,0.01630829870476965,0.01630829870476965,0.01630829870476965
50486,0.0,0.024880952380952382,0.024880952380952382,0.024880952380952382,0.024880952380952382,0.024880952380952382
84676,0.0,0.7366666666666667,0.7366666666666667,0.7366666666666667,0.7366666666666667,0.7366666666666667
401265,0.0,0.41545454545454547,0.41545454545454547,0.41545454545454547,0.41545454545454547,0.41545454545454547
167838,0.0,0.55,0.55,0.55,0.55,0.55
90523,0.0,0.81,0.81,0.81,0.81,0.81
6236,0.0,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696
150572,0.0,0.77,0.77,0.77,0.77,0.77
5019,0.0,0.22272727272727275,0.22272727272727275,0.22272727272727275,0.22272727272727275,0.22272727272727275
4724,0.0,0.029652933710829155,0.029652933710829155,0.029652933710829155,0.029652933710829155,0.029652933710829155
146862,0.0,0.5725,0.5725,0.5725,0.5725,0.5725
10231,0.0,0.158,0.158,0.158,0.158,0.158
91807,0.0,0.70625,0.70625,0.70625,0.70625,0.70625
54539,0.0,0.10884663683322914,0.10884663683322914,0.10884663683322914,0.10884663683322914,0.10884663683322914
56942,0.0,0.0315343003381411,0.0315343003381411,0.0315343003381411,0.0315343003381411,0.0315343003381411
10267,0.0,0.11156250000000001,0.11156250000000001,0.11156250000000001,0.11156250000000001,0.11156250000000001
113622,0.0,0.835,0.835,0.835,0.835,0.835
157310,0.0,0.7350000000000001,0.7350000000000001,0.7350000000000001,0.7350000000000001,0.7350000000000001
22906,0.0,0.8279936274667171,0.8279936274667171,0.8279936274667171,0.8279936274667171,0.8279936274667171
4695,0.0,0.04090963328176907,0.04090963328176907,0.04090963328176907,0.04090963328176907,0.04090963328176907
1891,0.0,0.04388162656039407,0.04388162656039407,0.04388162656039407,0.04388162656039407,0.04388162656039407
2287,0.0,0.03403221657942094,0.03403221657942094,0.03403221657942094,0.03403221657942094,0.03403221657942094
6638,0.0,0.525209218848025,0.525209218848025,0.525209218848025,0.525209218848025,0.525209218848025
84033,0.0,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.46399999999999997
92235,0.0,0.91,0.91,0.91,0.91,0.91
27309,0.0,0.030395304298774038,0.030395304298774038,0.030395304298774038,0.030395304298774038,0.030395304298774038
50808,0.0,0.08434221027745024,0.08434221027745024,0.08434221027745024,0.08434221027745024,0.08434221027745024
5092,0.0,0.17453080225484432,0.17453080225484432,0.17453080225484432,0.17453080225484432,0.17453080225484432
22808,0.0,0.6283333333333334,0.6283333333333334,0.6283333333333334,0.6283333333333334,0.6283333333333334
311,0.0,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155
477,0.0,0.44,0.44,0.44,0.44,0.44
3316,0.0,0.398,0.398,0.398,0.398,0.398
57159,0.0,0.71,0.71,0.71,0.71,0.71
8803,0.0,0.0166513754246187,0.0166513754246187,0.0166513754246187,0.0166513754246187,0.0166513754246187
9215,0.0,0.024285714285714285,0.024285714285714285,0.024285714285714285,0.024285714285714285,0.024285714285714285
29103,0.0,0.9630000000000001,0.9630000000000001,0.9630000000000001,0.9630000000000001,0.9630000000000001
6418,0.0,0.942507842623867,0.942507842623867,0.942507842623867,0.942507842623867,0.942507842623867
51142,0.0,0.010631980914774472,0.010631980914774472,0.010631980914774472,0.010631980914774472,0.010631980914774472
8682,0.0,0.8650621654388206,0.8650621654388206,0.8650621654388206,0.8650621654388206,0.8650621654388206
140467,0.0,0.03168746004804739,0.03168746004804739,0.03168746004804739,0.03168746004804739,0.03168746004804739
25915,0.0,0.3076474182129313,0.3076474182129313,0.3076474182129313,0.3076474182129313,0.3076474182129313
84266,0.0,0.345798848604935,0.345798848604935,0.345798848604935,0.345798848604935,0.345798848604935
6271,0.0,0.7683333333333333,0.7683333333333333,0.7683333333333333,0.7683333333333333,0.7683333333333333
