marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
LRPAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
RSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
CD164,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
DDX24,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
DDX17,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
SYNGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
SEP15,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
DCN,0.0,0.0,0.0,0.0,0.0,3.25809645652771,0.0,0.0
CFD,0.0,0.0,0.0,0.0,0.0,3.295836925506592,0.0,0.0
PLA2G2A,0.0,0.0,0.0,0.0,0.0,1.7917594909667969,0.0,0.0
MGP,0.6931471824645996,0.0,0.0,0.0,0.0,2.079441547393799,0.0,0.0
LGALS1,0.0,0.0,0.0,0.0,0.0,2.079441547393799,0.0,0.0
S100A4,0.0,0.0,0.0,0.0,0.0,2.4849066734313965,0.0,1.0986123085021973
IGFBP6,0.0,0.0,0.0,0.0,0.0,1.9459102153778076,0.0,0.0
TIMP1,1.0986123085021973,0.6931471824645996,0.0,0.0,0.0,2.079441547393799,0.0,0.0
C1R,0.0,0.0,0.0,0.0,0.0,1.7917594909667969,0.0,0.0
FBLN1,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,0.0
SERPING1,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,0.0
TIMP3,0.6931471824645996,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,0.0
MFAP4,0.0,0.0,0.0,0.0,0.0,1.3862943649291992,0.0,0.0
SOD3,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
GPX3,0.0,0.0,0.0,0.0,1.0986123085021973,1.9459102153778076,0.0,0.0
SFRP2,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
C1S,0.0,0.0,0.0,0.0,0.0,1.3862943649291992,0.0,0.0
COL1A2,0.0,0.0,0.0,0.0,0.0,1.3862943649291992,0.0,0.0
PLAC9,0.0,0.0,0.0,0.0,0.0,1.3862943649291992,0.0,0.0
MYL9,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
SERPINF1,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
SELM,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
IGFBP5,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
ADH1B,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
LUM,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
MFAP5,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
CALD1,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
COL6A2,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
RARRES2,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
NNMT,0.6931471824645996,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
SPARC,0.6931471824645996,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0
CCDC80,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
PCOLCE,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
TPM1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
PMP22,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
EFEMP1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
MT1M,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
MFGE8,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
EMP3,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
COL6A1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
FBLN2,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
COL1A1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
PRELP,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
COL3A1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
PRKCDBP,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
CPE,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
TFPI,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
TUBA1A,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
FSTL1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
RHOB,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.6931471824645996,0.0
