marker_ID,EC,Epi,Lym,Mye,Stromal
TMEM54,0.0,1.0874059116693298,0.0,0.0,0.0
C10orf99,0.0,0.695404895726091,0.0,0.0,0.0
CYCS,0.0,1.8333588808717303,0.0,0.0,0.0
CTNNB1,0.0,1.2904308463989436,0.0,0.0,0.0
MINOS1,0.0,1.4885860196836957,0.0,0.0,0.0
SLIRP,0.0,1.4705822258581405,0.0,0.0,0.0
DNAJA1,0.0,1.7631744278321624,0.0,0.0,0.0
NDUFB1,0.0,1.5106346478180797,0.0,0.0,0.0
RPS17,0.0,1.6347923643588826,0.0,0.0,0.0
SRI,0.0,1.5366455262113168,0.0,0.0,0.0
HSPH1,0.0,1.6197573347335124,0.0,0.0,0.0
FAM162A,0.0,1.1687703195069323,0.0,0.0,0.0
SPINT2,0.0,0.9413897592314163,0.0,0.0,0.0
SUCLG1,0.0,0.9779738105523057,0.0,0.0,0.0
CYC1,0.0,1.2103337342210643,0.0,0.0,0.0
ATP5F1C,0.0,1.3938415667552735,0.0,0.0,0.0
DDT,0.0,0.9892398421663107,0.0,0.0,0.0
HNRNPAB,0.0,1.147206306567444,0.0,0.0,0.0
TUBB4B,0.0,1.3263851246102778,0.0,0.0,0.0
PPP1R15A,0.0,1.788433892501678,0.0,0.0,0.0
VDAC1,0.0,1.2238886213514255,0.0,0.0,0.0
PRDX2,0.0,1.4785058187863334,0.0,0.0,0.0
NDUFS6,0.0,1.0075585939575216,0.0,0.0,0.0
ATP1A1,0.0,0.975316706455803,0.0,0.0,0.0
NDUFB7,0.0,1.0953893831914079,0.0,0.0,0.0
ATP5PB,0.0,0.9616583389018357,0.0,0.0,0.0
SNRPG,0.0,0.971464850980611,0.0,0.0,0.0
RPS4Y1,0.0,1.1554123031478816,0.0,0.0,0.0
PHPT1,0.0,0.5198804753052045,0.0,0.0,0.0
NDUFB10,0.0,1.0531672792447326,0.0,0.0,0.0
RPS10,0.0,0.8685334612662765,0.0,0.0,0.0
ATP5F1A,0.0,1.188551580044813,0.0,0.0,0.0
ROMO1,0.0,1.0951796648137244,0.0,0.0,0.0
RRBP1,0.0,1.1369318118173908,0.0,0.0,0.0
CLDN5,3.0041630878274725,0.0,0.0,0.0,0.0
PECAM1,2.5158047067359055,0.0,0.0,0.0,0.0
CRIP2,2.3441070427476296,0.0,0.0,0.0,0.0
CAV1,2.2670116995150567,0.0,0.0,0.0,0.0
EGFL7,2.1328747709210916,0.0,0.0,0.0,0.0
CAVIN2,2.2000740895047484,0.0,0.0,0.0,0.0
TM4SF1,2.1241254531365303,0.0,0.0,0.0,0.0
VWF,1.94522474806892,0.0,0.0,0.0,0.0
RAMP2,1.9654036898286653,0.0,0.0,0.0,0.0
IFI27,2.6438327036596907,0.0,0.0,0.0,0.0
GNG11,1.8571422284909067,0.0,0.0,0.0,0.0
PTPRB,1.7893330407784012,0.0,0.0,0.0,0.0
TGFBR2,1.9831597120317919,0.0,0.0,0.0,0.0
EPAS1,1.9472828328672855,0.0,0.0,0.0,0.0
HYAL2,1.6230149756881107,0.0,0.0,0.0,0.0
TCF4,1.7597407015785165,0.0,0.0,0.0,0.0
ENG,1.5342156279728765,0.0,0.0,0.0,0.0
KCTD12,1.4451626539750544,0.0,0.0,0.0,0.0
SLC9A3R2,1.4212231409730633,0.0,0.0,0.0,0.0
EMP1,1.6232327211231323,0.0,0.0,0.0,0.0
S1PR1,1.480863159449506,0.0,0.0,0.0,0.0
A2M,1.455407720473312,0.0,0.0,0.0,0.0
CALCRL,1.4109416095494534,0.0,0.0,0.0,0.0
CD93,1.394297423842856,0.0,0.0,0.0,0.0
CD59,1.5666870940561406,0.0,0.0,0.0,0.0
RNASE1,1.5106837574139445,0.0,0.0,0.0,0.0
ADIRF,1.9644806237180248,0.0,0.0,0.0,0.0
CLEC14A,1.1837330914945907,0.0,0.0,0.0,0.0
SOX18,0.9752388291098582,0.0,0.0,0.0,0.0
SLCO2A1,0.9089442092350636,0.0,0.0,0.0,0.0
GIMAP4,1.2874787660208595,0.0,0.0,0.0,0.0
LDB2,1.0721309904767435,0.0,0.0,0.0,0.0
ICAM2,1.2027841176845546,0.0,0.0,0.0,0.0
MTUS1,1.3436115712374912,0.0,0.0,0.0,0.0
NPDC1,1.1717597810387903,0.0,0.0,0.0,0.0
CD320,0.9603623993605402,0.0,0.0,0.0,0.0
ARHGAP29,0.9569908264228095,0.0,0.0,0.0,0.0
HSPG2,0.4963251107590885,0.0,0.0,0.0,0.0
GIMAP7,1.0626186860202043,0.0,0.0,0.0,0.0
LY6E,1.3007393834410321,0.0,0.0,0.0,0.0
WWTR1,0.8016680320638645,0.0,0.0,0.0,0.0
KLF2,0.9926477258762416,0.0,0.0,0.0,0.0
CAV2,0.6477547367754297,0.0,0.0,0.0,0.0
MYH9,1.6712329847028573,0.0,0.0,0.0,0.0
TINAGL1,0.7672963638258373,0.0,0.0,0.0,0.0
NFIB,1.0458089143741671,0.0,0.0,0.0,0.0
TJP1,0.8728520764627283,0.0,0.0,0.0,0.0
CCDC85B,1.0805442401992837,0.0,0.0,0.0,0.0
NEDD9,0.6264347834304101,0.0,0.0,0.0,0.0
ARL4A,0.9207841726891541,0.0,0.0,0.0,0.0
CAPZA2,1.0213100379406814,0.0,0.0,0.0,0.0
SYNE2,1.1794257493361595,0.0,0.0,0.0,0.0
RAB11A,1.2632176583336785,0.0,0.0,0.0,0.0
PTTG1IP,1.034452529467075,0.0,0.0,0.0,0.0
MSN,0.8871771636441343,0.0,0.0,0.0,0.0
CDC37,1.3118315532826745,0.0,0.0,0.0,0.0
NKTR,0.963458835671719,0.0,0.0,0.0,0.0
ETS2,0.6675201621189568,0.0,0.0,0.0,0.0
MGST2,0.6790993246702994,0.0,0.0,0.0,0.0
CSNK1A1,0.819141998828128,0.0,0.0,0.0,0.0
