"","CM","EC","FB","MP","SMC","weight"
"2022",0.742288624065208,0,0,0.742288624065208,0.742288624065208,0.742288624065208
"2",0.913572016554815,0,0.913572016554815,0.913572016554815,0,0.913572016554815
"23345",0,0,0.831437463012655,0.831437463012655,0.831437463012655,0.831437463012655
"4892",0,0.91379652302128,0.91379652302128,0.91379652302128,0.91379652302128,0.91379652302128
"845",0,0.895518479979958,0.895518479979958,0.895518479979958,0.895518479979958,0.895518479979958
"8988",0,0.812386147320026,0.812386147320026,0.812386147320026,0.812386147320026,0.812386147320026
"27145",0,0.579039530732712,0.579039530732712,0.579039530732712,0.579039530732712,0.579039530732712
"6345",0,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173
"51650",0,0.09235012093712,0.09235012093712,0.09235012093712,0.09235012093712,0.09235012093712
"127294",0,0.368823632360427,0.368823632360427,0.368823632360427,0.368823632360427,0.368823632360427
"161247",0,0.61296555178962,0.61296555178962,0.61296555178962,0.61296555178962,0.61296555178962
"9086",0,0.190667479258488,0.190667479258488,0.190667479258488,0.190667479258488,0.190667479258488
"5507",0,0.0226315789473684,0.0226315789473684,0.0226315789473684,0.0226315789473684,0.0226315789473684
"1653",0,0.0727380466364186,0.0727380466364186,0.0727380466364186,0.0727380466364186,0.0727380466364186
"137735",0,0.819475048974421,0.819475048974421,0.819475048974421,0.819475048974421,0.819475048974421
"5264",0,0.587092459763373,0.587092459763373,0.587092459763373,0.587092459763373,0.587092459763373
"2274",0,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698
"6123",0,0.590874786393726,0.590874786393726,0.590874786393726,0.590874786393726,0.590874786393726
"5621",0,0.770626707191095,0.770626707191095,0.770626707191095,0.770626707191095,0.770626707191095
"115701",0,0.636347310744189,0.636347310744189,0.636347310744189,0.636347310744189,0.636347310744189
"6442",0,0.867525890228631,0.867525890228631,0.867525890228631,0.867525890228631,0.867525890228631
"10457",0,0.91780441177638,0.91780441177638,0.91780441177638,0.91780441177638,0.91780441177638
"3959",0,0.404755635476551,0.404755635476551,0.404755635476551,0.404755635476551,0.404755635476551
"84700",0,0.72684211163612,0.72684211163612,0.72684211163612,0.72684211163612,0.72684211163612
"2697",0,0.41,0.41,0.41,0.41,0.41
"6445",0,0.772841191528339,0.772841191528339,0.772841191528339,0.772841191528339,0.772841191528339
"51020",0,0.584859664255911,0.584859664255911,0.584859664255911,0.584859664255911,0.584859664255911
"2745",0,0.325510001725968,0.325510001725968,0.325510001725968,0.325510001725968,0.325510001725968
"201294",0,0.613186358071922,0.613186358071922,0.613186358071922,0.613186358071922,0.613186358071922
"4016",0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
"4000",0,0.031151147657302,0.031151147657302,0.031151147657302,0.031151147657302,0.031151147657302
"55679",0,0.952929006781629,0.952929006781629,0.952929006781629,0.952929006781629,0.952929006781629
"8692",0.878,0,0.878,0.878,0.878,0.878
"2327",0.675,0,0,0.675,0.675,0.675
"4820",0.3275,0,0,0.3275,0.3275,0.3275
"10268",0.024,0,0.024,0.024,0.024,0.024
