marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
SEPP1,1.32867675139145,1.6155727091059142,0.0,0.0,0.0,0.0,2.0547691313352106
PRELP,0.0,0.0,0.0,0.0,0.0,0.0,1.6680841890060314
C1R,0.0,0.0,0.0,0.0,0.0,0.0,1.7341619774447186
LMCD1,0.0,0.0,0.0,0.0,0.0,0.0,1.7577917137605272
COL6A1,0.0,0.0,0.0,0.0,0.0,0.0,1.6798788837614853
MFGE8,0.0,0.0,0.0,0.0,0.0,0.0,1.6898952321284888
TPM1,0.0,0.5696935878321745,0.0,0.0,0.0,0.0,1.8026756914918705
TCF21,0.0,0.0,0.0,0.0,0.0,0.0,1.4645447700752117
FXYD1,0.0,0.0,0.0,0.0,0.0,0.0,1.5607154660620601
PCOLCE,0.0,0.0,0.0,0.0,0.0,0.0,1.5076652642862731
CSRP1,0.0,0.0,0.0,0.0,0.3457763777966346,0.0,1.8637865656895565
DKK3,0.0,0.0,0.0,0.0,0.0,0.0,1.49680801204625
GSN,1.671057670351505,0.0,0.0,0.0,1.4749538055559857,0.0,2.2050852698891243
SDC2,0.0,0.0,0.0,0.0,0.0,0.0,1.4446672025065779
PRKCDBP,0.0,0.0,0.0,0.0,0.0,0.0,1.6332155980793932
LHFP,0.0,0.0,0.0,0.0,0.0,0.0,1.4041825640804562
LBH,0.0,0.0,0.0,0.0,0.0,0.0,1.5617565700998857
FILIP1L,0.0,0.0,0.0,0.0,0.0,0.0,1.5271215332467576
COL1A1,0.0,0.0,0.0,0.0,0.0,0.0,1.2746138014434765
LTBP4,0.0,0.0,0.0,0.0,0.0,0.0,1.432408450221911
CRYAB,0.0,0.0,0.0,0.0,0.0,0.0,1.3067005469314699
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,1.3906601941741408
SELM,0.0,0.9944149133368376,0.0,0.0,0.47622129736379876,0.0,1.8245828412173524
AOC3,0.0,0.0,0.0,0.0,0.0,0.0,1.3952101738639415
COL3A1,0.0,0.0,0.0,0.0,0.0,0.0,1.0379724710153337
MMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.6126077727615333
CNN3,1.5635452061039405,0.7522496604194226,0.0,0.0,0.0,0.0,1.647625567644268
MYH10,0.0,0.0,0.0,0.0,0.0,0.0,0.9834409024460242
EGR1,0.0,0.9928883064954082,0.0,0.0,0.0,0.0,1.7133512695939763
FMO2,0.0,0.0,0.0,0.0,0.0,0.0,0.7420473617821314
MXRA8,0.0,0.0,0.0,0.0,0.0,0.0,1.1320291079445397
PDLIM3,0.0,0.0,0.0,0.0,0.0,0.0,1.0942315568514742
TGFB1I1,0.0,0.0,0.0,0.0,0.0,0.0,1.1189517422963546
HSPB1,0.0,2.052080500811898,0.0,0.0,1.7302275877110738,0.0,2.3285985829743976
GAS6,0.0,0.0,0.0,0.0,0.0,0.0,1.2538354313300815
ELN,0.0,0.0,0.0,0.0,0.0,0.0,0.6743424185693275
PPAP2B,0.0,0.0,0.0,0.0,0.0,0.0,0.7918985350733851
TPPP3,0.0,1.426770236420496,0.0,0.0,0.0,0.0,1.546602793095745
MYLK,0.0,0.0,0.0,0.0,0.0,0.0,0.8766019613803565
BTG2,0.0,0.5430150583181004,0.9912601722552282,0.0,0.0,0.0,1.5112341117831187
ARID5B,0.0,0.0,0.0,0.0,0.0,0.0,1.3299535152244957
DST,0.0,0.0,0.0,0.0,0.30973852289326786,0.0,1.0863640122748237
NDN,0.0,0.0,0.0,0.0,0.0,0.0,1.0209690756408527
EFEMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.9653169700945337
ANXA6,0.0,0.0,0.0,1.1198549175075052,0.0,0.0,1.3106434040273331
CES1,0.0,0.43505125037950143,0.0,0.0,1.2175988175349926,0.0,1.4111760274966274
PLS3,0.0,0.0,0.0,0.0,0.0,0.0,1.0557878011118098
ACTN1,0.0,0.0,0.0,0.0,0.7884137265393222,0.0,1.0611335695814572
TACC1,0.0,0.0,0.0,0.0,0.237222599719788,0.0,1.1499271624516538
PKIG,0.0,0.0,0.0,0.0,0.0,0.0,0.6277756342989825
PTMS,0.0,1.0680406293621414,0.0,0.0,1.322820150808136,0.0,1.6906162999544172
ZFP36L1,0.0,1.188961715229611,0.0,0.0,0.0,0.5345697560093351,1.5425436776040702
RNASE4,0.0,0.4759441537256948,0.0,0.0,0.0,0.0,0.970428689693086
PDLIM2,0.0,0.0,0.0,0.0,0.4015373862504412,0.0,1.0196076935926301
PNISR,0.0,0.6874381459304312,0.0,0.0,0.0,0.0,1.3856946609519925
ILK,0.0,0.0,0.0,0.0,0.47495366531621286,0.0,1.134814086608214
MAGED2,0.0,0.0,0.0,0.0,0.0,0.0,1.1373983137032662
SBDS,0.0,0.6947511245955507,0.0,0.0,0.46682319478586026,0.0,1.3763277483106078
PPP1R12A,0.0,0.0,0.0,0.0,0.21071915478921563,0.0,0.6217680483563192
FLNA,0.0,0.0,0.0,0.0,1.2011568516163005,0.9796848619628925,1.2346691272500543
CITED2,0.0,0.863426460665329,0.0,0.0,1.1034578868771014,0.0,1.4270910228303557
ZBTB20,0.0,0.0,0.0,0.0,0.0,0.0,0.7886756056728624
DDAH2,0.0,0.0,0.9851202516522075,0.0,0.8705054876077802,0.0,1.1594514153010003
LEPROT,1.0726368022648491,0.0,0.0,0.0,0.7828594419822661,0.0,1.1816925339342705
WBP5,0.0,0.5798884548818011,0.0,0.0,0.0,0.0,0.6334061852037617
H2AFJ,0.0,0.5434990952653513,0.0,0.0,0.7171042991370196,0.0,1.0410442463985325
CYB5R3,0.0,0.571373908635885,0.0,0.0,0.8064014730978913,0.0,1.0732698018175657
LUC7L3,0.0,0.43319823074523406,0.0,0.0,0.22993497635318458,0.0,0.5075143624623347
NUCKS1,0.0,1.0049759758336543,0.0,0.0,0.6234092757979923,0.0,1.305719048181155
MORF4L2,0.0,0.781861337913148,0.0,0.0,0.44372588079000086,0.0,1.0096323446036377
SYPL1,0.0,0.6382980547538823,0.0,0.0,0.36069741971408553,0.0,0.8676911836018373
ESD,0.0,0.776466578697987,0.0,0.0,0.768814099264333,0.0,1.1440619841751363
ARF4,0.0,0.8670586323141589,0.0,0.0,0.7441670273936309,0.0,0.9728785260276047
RAB2A,0.0,0.8193903956260393,0.0,0.0,0.7119113861636432,0.0,0.9095639154259957
ATRAID,0.0,0.9186069847142018,0.0,0.0,0.933169576436936,0.0,1.0345694424746474
LYZ,0.0,0.0,0.0,0.0,3.8142915599356546,4.0194016682857,0.0
AIF1,0.0,0.0,0.0,0.0,2.3970603104213972,2.886804520459553,0.0
