,BE,EC,Fib,LE,Leu,SM,weight
5764,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
715,0.0325,0.0325,0.0,0.0325,0.0325,0.0325,0.0325
710,0.75,0.75,0.0,0.75,0.75,0.0,0.75
2252,0.64,0.64,0.0,0.64,0.64,0.64,0.64
9235,0.8633333333333333,0.8633333333333333,0.0,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333
51186,0.4175,0.0,0.0,0.4175,0.4175,0.0,0.4175
8682,nan,nan,0.0,nan,nan,nan,0.0
7095,0.0,nan,0.0,0.0,nan,nan,0.0
56999,0.0492,0.0,0.0492,0.0492,0.0492,0.0,0.0492
6401,0.8733333333333333,0.0,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333
10252,0.028888888888888888,0.0,0.028888888888888888,0.028888888888888888,0.028888888888888888,0.028888888888888888,0.028888888888888888
2532,0.5825,0.0,0.5825,0.5825,0.5825,0.5825,0.5825
83483,0.67,0.0,0.67,0.67,0.67,0.67,0.67
10203,0.1,0.0,0.1,0.1,0.1,0.1,0.1
9452,0.3,0.0,0.3,0.3,0.3,0.3,0.3
3669,0.88,0.0,0.88,0.88,0.88,0.88,0.88
11142,nan,0.0,nan,nan,nan,nan,0.0
1397,0.8858333333333334,0.0,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334
2040,nan,0.0,nan,nan,nan,0.0,0.0
11007,nan,0.0,nan,nan,nan,nan,0.0
871,0.08033333333333333,0.0,0.08033333333333333,0.08033333333333333,0.08033333333333333,0.08033333333333333,0.08033333333333333
3880,0.0,0.20214285714285715,0.20214285714285715,0.0,0.20214285714285715,0.20214285714285715,0.20214285714285715
6273,0.0,0.6087499999999999,0.6087499999999999,0.6087499999999999,0.6087499999999999,0.6087499999999999,0.6087499999999999
3875,0.0,0.31625,0.31625,0.0,0.31625,0.31625,0.31625
10205,0.0,0.4,0.4,0.4,0.4,0.4,0.4
6590,0.0,0.79,0.79,0.79,0.79,0.79,0.79
23022,0.0,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.0,0.8766666666666667
1465,0.0,0.8013888888888889,0.8013888888888889,0.8013888888888889,0.8013888888888889,0.8013888888888889,0.8013888888888889
498,0.0,nan,nan,nan,nan,nan,0.0
