marker_ID,Chol,EC,Hep,Kup,Lym
GDI2,0.0,0.0,0.0,0.6040336948291596,0.0
ATP6V0B,0.0,0.0,0.0,0.5764641593537501,0.0
UBXN1,0.0,0.0,0.0,0.4333824134554096,0.0
CAPZB,0.0,0.0,0.0,0.3678279119709543,0.0
PGK1,0.0,0.0,0.0,0.45203789193468746,0.0
FGA,0.8617149913664133,0.0,5.951234277307777,0.0,0.0
TTR,0.9907733515063755,0.0,6.0557763123334345,0.0,0.0
RBP4,1.644991079781357,0.0,5.342657643143156,0.0,0.0
AMBP,2.748542904751539,0.0,5.342502494553803,0.0,0.0
TF,0.0,0.0,4.762968250526475,0.0,0.0
ORM2,0.30848040592127784,0.0,5.134322989438809,0.0,0.0
FGG,1.055395361640012,0.0,4.9408687122357495,0.0,0.0
FGL1,0.6764409973874198,0.0,4.8064344142691,0.0,0.0
APOH,0.0,0.0,4.581283086564514,0.0,0.0
CYP2E1,0.0,0.0,4.524119538740076,0.0,0.0
HPX,0.0,0.0,4.493796586593352,0.0,0.0
MAT1A,0.0,0.0,4.393559748473252,0.0,0.0
VTN,1.6694317082687586,0.0,4.367835629563124,0.0,0.0
FABP1,0.0,0.0,4.252816435233027,0.0,0.0
TAT,0.0,0.0,3.9859744696430752,0.0,0.0
MGST1,0.9448174947829716,0.0,3.928617205263869,0.0,0.0
AZGP1,0.8785352451484477,0.0,3.915258240479331,0.0,0.0
APCS,0.5049727870951746,0.0,3.810120254216808,0.0,0.0
ANG,0.3739161178077212,0.0,3.8780880229979067,0.0,0.0
ADH1B,0.0,0.0,3.9932121815723054,0.0,0.0
C3,1.5109065991967736,0.0,3.9179809681312823,0.0,0.0
NNMT,0.0,0.0,3.749164603619556,0.0,0.0
ALDOB,0.0,0.0,3.5057546785761553,0.0,0.0
APOB,0.5680351643901683,0.0,3.450009523824204,0.0,0.0
DDT,0.8440671344788674,0.0,4.142445368068089,0.0,0.0
C1S,0.13193428718341477,0.0,3.4088655527945178,0.0,0.0
