marker_ID,Basal,EC,Fat,Fib,Luminal,Lym,MP
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.38803978815202533
TNFAIP3,0.0,0.0,0.0,0.0,0.0,0.0,0.470028196132571
RNF130,0.0,0.0,0.0,0.0,0.5619507417323086,0.0,0.6268611349074096
NFKBIB,0.0,0.0,0.0,0.0,0.0,0.0,0.7289583436914662
NR4A1,0.0,0.44011338766449193,0.0,0.6783597213084562,0.0,0.0,0.7404257795351598
LMNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.3352889707418103
CORO1B,0.0,0.0,0.0,0.0,0.24267149106574235,0.0,0.5898517841655526
STX7,0.0,0.0,0.0,0.0,0.20006244988943214,0.0,0.518146246189106
GNG2,0.0,0.0,0.0,0.0,0.0,0.0,0.5181738025193223
LYN,0.0,0.0,0.0,0.0,0.0,0.0,0.6327498362971603
IRF5,0.0,0.0,0.0,0.0,0.0,0.0,0.834002155495424
LCP1,0.0,0.0,0.0,0.0,0.0,0.0,1.073900485466014
B4GALT5,0.0,0.0,0.0,0.0,0.0,0.0,0.33326520844502805
HLA-DOA,0.0,0.0,0.0,0.0,0.0,0.0,0.5192175462337132
IMPACT,0.0,0.0,0.0,0.0,0.0,0.0,0.3898379875096317
WNK1,0.0,0.7650161449934864,0.0,0.0,0.47542534184425855,0.0,0.8567610750621484
CD48,0.0,0.0,0.0,0.0,0.0,0.0,0.4529696529681051
ARL8B,0.0,0.0,0.0,0.0,0.2897215277934097,0.0,0.4601426959496446
CD86,0.0,0.0,0.0,0.0,0.0,0.0,0.5768297398132017
PLAC8,0.0,0.0,0.0,0.9167595838761307,0.2839968879705985,0.0,0.9924709186731369
M6PR,0.5709299627646938,0.0,0.0,0.0,0.6712405524454591,0.0,1.0005096722676459
SGPL1,0.0,0.0,0.0,0.0,0.0,0.0,0.4830811254278359
FCGR2A,0.0,0.0,0.0,0.0,0.0,0.0,0.25936099458921946
DENND4A,0.0,0.0,0.0,0.0,0.0,0.0,0.4016800589526068
SNX20,0.0,0.0,0.0,0.0,0.0,0.0,0.5493219536278845
PSMB9,0.0,0.0,0.0,0.0,0.0,0.0,0.4273181870748999
CREG1,0.0,0.0,0.0,0.0,0.0,0.0,0.4710706548605373
ATP6V1D,0.0,0.0,0.0,0.0,0.5078303397580454,0.0,0.6257303345493233
AP2S1,0.5722439522448793,0.0,0.0,0.0,0.7899877498190625,0.0,0.8170850503239752
EPSTI1,0.0,0.0,0.0,0.0,0.0,0.0,0.5591285325196829
CSF2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.3158646207198849
ATP6V1B2,0.0,0.0,0.0,0.0,0.0,0.0,0.39112891302540087
FUCA1,0.0,0.0,0.0,0.0,0.5372907370641992,0.0,0.6145775885782134
NDUFV3,0.0,0.0,0.0,0.0,0.7389104665072329,0.0,0.8349634015915258
SDF2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.3866226262931298
NINJ1,0.505123713556217,0.45024649682001705,0.0,0.0,0.36043457483012215,0.0,1.1392921546744743
REL,0.0,0.0,0.0,0.0,0.0,0.0,0.8017705195733941
CYTH1,0.0,0.0,0.0,0.0,0.0,0.0,0.515767239436284
CTSA,0.0,0.0,0.0,0.0,0.0,0.0,0.7053561210788971
MAPKAPK2,0.5727116819545062,0.0,0.0,0.0,0.5726599042763137,0.0,0.669604734515209
SLA,0.0,0.0,0.0,0.0,0.0,0.0,0.14641579239380403
FYN,0.0,0.0,0.0,0.0,0.0,0.0,0.5001559411084004
GNS,0.0,0.0,0.0,0.0,0.24015912261705485,0.0,0.3515703041068763
TLN1,0.43674908312005545,0.0,0.0,0.0,0.20006244988943214,0.0,0.5595251000341022
FYB1,0.0,0.0,0.0,0.0,0.0,0.0,0.5276735099369165
USF2,0.0,0.0,0.0,0.0,0.42451496612369105,0.0,0.5201302736408946
CMPK1,0.0,0.4190088664410721,0.0,0.0,0.7081998207958645,0.0,0.7712480627691173
IFNGR2,0.0,0.0,0.0,0.0,0.2713546018676422,0.0,0.47533970597025316
CMTM7,0.0,0.0,0.0,0.0,0.18277602327150794,0.0,0.47119540204633414
GPCPD1,0.0,0.0,0.0,0.0,0.0,0.0,0.5549658457993478
MAP3K1,0.0,0.0,0.0,0.0,0.0,0.0,0.14641579239380403
ABI1,0.0,0.0,0.0,0.0,0.3479027562341613,0.0,0.5646338953169618
WDR26,0.0,0.0,0.0,0.0,0.4188485916862049,0.0,0.516490142534864
TGFBI,0.0,0.0,0.0,0.0,0.0,0.0,1.0551829666781
SNX2,0.0,0.0,0.0,0.0,0.0,0.0,0.3842737628366695
ARHG,0.0,0.0,0.0,0.0,0.16540620437778109,0.0,0.6268611349074096
PYCARD,0.0,0.0,0.0,0.0,0.0,0.0,0.18378720748847074
