marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal,weight
9022,0.4218357395719425,0.0,0.4218357395719425,0.4218357395719425,0.4218357395719425,0.4218357395719425,0.4218357395719425,0.4218357395719425
718,0.5835689820236495,0.0,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495
57111,0.5620347055258742,0.0,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.5620347055258742
195814,0.779596705432529,0.0,0.779596705432529,0.779596705432529,0.779596705432529,0.779596705432529,0.779596705432529,0.779596705432529
23584,0.5773450136967414,0.0,0.5773450136967414,0.5773450136967414,0.5773450136967414,0.5773450136967414,0.5773450136967414,0.5773450136967414
3949,,0.0,,,,,,0.0
132299,0.3514285714285714,0.0,0.3514285714285714,0.3514285714285714,0.3514285714285714,0.3514285714285714,0.3514285714285714,0.3514285714285714
7122,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
3429,0.0,0.0,0.5792166453647069,0.5792166453647069,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069
8743,0.0,0.16703951957365112,0.16703951957365112,0.16703951957365112,0.0,0.16703951957365112,0.16703951957365112,0.16703951957365112
7123,0.0,0.6228982990648735,0.6228982990648735,0.6228982990648735,0.6228982990648735,0.6228982990648735,0.6228982990648735,0.6228982990648735
4071,0.0,0.0,0.78,0.78,0.78,0.78,0.78,0.78
161198,0.0,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681
641700,0.0,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401
2022,0.0,0.742288624065208,0.742288624065208,0.742288624065208,0.0,0.742288624065208,0.742288624065208,0.742288624065208
3384,0.0,0.792154125,0.792154125,0.792154125,0.0,0.792154125,0.792154125,0.792154125
358,0.0,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885
10791,0.0,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.0,0.0,0.1823809523809524,0.1823809523809524
168537,0.0,0.7504331019515231,0.7504331019515231,0.0,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231
10974,0.0,0.0,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.0,0.6705169692134806
389,0.0,,,,0.0,,0.0,0.0
140576,0.0,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
948,0.0,0.9369840935631797,0.9369840935631797,0.9369840935631797,0.9369840935631797,0.9369840935631797,0.9369840935631797,0.9369840935631797
7035,0.0,,,,,,0.0,0.0
8837,0.0,0.7805555555555556,0.7805555555555556,0.7805555555555556,0.0,0.0,0.7805555555555556,0.7805555555555556
9976,0.0,0.7438376803028303,0.7438376803028303,0.7438376803028303,0.0,0.0,0.7438376803028303,0.7438376803028303
4258,0.0,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.0,0.30666666666666664,0.30666666666666664,0.30666666666666664
3428,0.0,,,,0.0,0.0,,0.0
8404,0.0,0.58,0.58,0.58,0.58,0.58,0.0,0.58
800,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9
6876,0.49636363636363634,0.49636363636363634,0.49636363636363634,0.49636363636363634,0.0,0.49636363636363634,0.0,0.49636363636363634
10398,0.1652941176470588,0.0,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588
6649,0.3639285714285714,0.3639285714285714,0.3639285714285714,0.3639285714285714,0.3639285714285714,0.3639285714285714,0.0,0.3639285714285714
2878,0.088,0.088,0.088,0.088,0.088,0.088,0.0,0.088
125,0.675,0.675,0.675,0.675,0.675,0.675,0.0,0.675
710,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.75
715,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0,0.0325
29995,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.0,0.015357142857142857
1465,0.8013888888888889,0.8013888888888889,0.8013888888888889,0.8013888888888889,0.0,0.8013888888888889,0.0,0.8013888888888889
1410,0.5025,0.5025,0.5025,0.5025,0.5025,0.5025,0.0,0.5025
8639,0.76,0.76,0.76,0.76,0.76,0.76,0.0,0.76
2327,0.675,0.675,0.675,0.675,0.675,0.675,0.0,0.675
1066,0.48,0.0,0.48,0.48,0.0,0.48,0.0,0.48
11142,,,,,,,0.0,0.0
55766,,0.0,,,0.0,,0.0,0.0
2098,,0.0,,,0.0,,0.0,0.0
1520,0.76,0.0,0.76,0.76,0.0,0.0,0.76,0.76
2219,0.77,0.77,0.77,0.77,0.77,0.0,0.77,0.77
1890,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.0,0.0,0.06838709677419355,0.06838709677419355
10875,0.27749999999999997,0.27749999999999997,0.27749999999999997,0.27749999999999997,0.27749999999999997,0.0,0.27749999999999997,0.27749999999999997
4046,0.9066666666666667,0.9066666666666667,0.9066666666666667,0.0,0.0,0.0,0.9066666666666667,0.9066666666666667
