marker_ID,CM,EC,FB,MP,SMC
CDH19,0.0,0.0,7.276661980024639,0.0,0.0
VCAN,0.0,0.0,7.7936367861354165,0.0,0.0
FBLN1,0.0,0.0,7.849287250819263,0.0,0.0
MFAP5,0.0,0.0,7.168057136942808,0.0,0.0
C1S,0.0,0.0,7.429572078305053,0.0,0.0
TIMP1,0.0,0.0,8.185312167430938,0.0,0.0
PRELP,0.0,0.0,6.8749853001653,0.0,0.0
ABI3BP,0.0,0.0,6.408542089675956,0.0,0.0
SCN7A,0.0,0.0,6.655134537309367,0.0,0.0
CFH,0.0,0.0,7.046268161387113,0.0,0.0
C3,0.0,0.0,6.433460782590505,0.0,0.0
FN1,0.0,0.0,8.42445656794317,0.0,0.0
COL6A3,0.0,0.0,5.926484428650657,0.0,0.0
FBN1,0.0,0.0,6.704807989081501,0.0,0.0
FSTL1,0.0,0.0,8.33248937513227,0.0,0.0
DPT,0.0,0.0,5.172248118903159,0.0,0.0
FBLN2,0.0,0.0,6.116501157694438,0.0,0.0
COL14A1,0.0,0.0,4.388935520636496,0.0,0.0
LAMB1,0.0,0.0,5.938009763557847,0.0,0.0
MMP2,0.0,0.0,4.9262230537426746,0.0,0.0
LAMA2,0.0,0.0,7.13866570540691,0.0,0.0
PCOLCE2,0.0,0.0,5.32288930363265,0.0,0.0
HTRA3,0.0,0.0,1.267650955178882,0.0,0.0
TIMP2,0.0,0.0,6.615721028489534,0.0,0.0
CYBRD1,0.0,0.0,3.40157974683627,0.0,0.0
COL6A1,0.0,0.0,5.88656082501738,0.0,0.0
EMP1,0.0,0.0,5.117279795136829,0.0,0.0
COL6A2,0.0,0.0,2.9046242287636312,0.0,0.0
LTBP1,0.0,0.0,5.435556051809442,0.0,0.0
LAMC1,0.0,0.0,4.716694911022928,0.0,0.0
TSC22D3,0.0,0.0,5.788224031234219,0.0,0.0
NFE2L2,0.0,0.0,5.7697928751122465,0.0,0.0
ANXA1,0.0,0.0,4.642546995515103,0.0,0.0
RRBP1,0.0,0.0,4.174124865601231,0.0,0.0
PMP22,0.0,0.0,3.45730332236828,0.0,0.0
SCARF2,0.0,0.0,5.480878824532505,0.0,0.0
RP4-725G10.3,0.0,0.0,4.843866347552711,0.0,0.0
ADD3,0.0,0.0,1.6412588375722408,0.0,0.0
DPYSL2,0.0,0.0,6.498410792801568,0.0,0.0
CNN3,0.0,0.0,3.32775171375374,0.0,0.0
PDIA3,0.0,0.0,4.4987519071431326,0.0,0.0
IL6ST,0.0,0.0,4.80312255989984,0.0,0.0
WSB1,0.0,0.0,4.5689218435498855,0.0,0.0
FTH1P15,0.0,0.0,3.985150625265153,0.0,0.0
RPL7P24,0.0,0.0,4.404131758671799,0.0,0.0
HMGB1P5,0.0,0.0,4.550759289949559,0.0,0.0
RP11-25I15.1,0.0,0.0,4.042479578104896,0.0,0.0
RPL7P56,0.0,0.0,4.210561455073879,0.0,0.0
RPL7P6,0.0,0.0,1.346302397179547,0.0,0.0
IFI27,0.0,9.373989452239654,5.065498808213308,0.0,0.0
VWF,2.98041575800107,9.65503682109685,0.0,0.0,5.2979634684468175
PECAM1,0.0,7.857979689679617,0.0,0.0,0.0
RNASE1,0.0,8.929537464039935,0.0,6.763037750116638,0.0
AQP1,0.0,8.776213392295004,0.0,0.0,1.6786547841896362
TM4SF1,0.0,7.262659805502363,0.0,0.0,0.0
ENG,0.0,6.914929714216171,3.1645840436205663,0.0,0.0
GNG11,0.0,8.614428973425529,5.723341071436247,0.0,5.474225879804369
HLA-DRB1,0.0,6.6729196668223985,0.0,5.800314487244479,0.0
EPAS1,0.0,8.270792683463522,3.4099020261881376,0.0,6.325446782704437
ID3,0.0,7.458123870402387,5.7373995332144485,0.0,7.3349139705014705
ITM2A,0.0,5.07691630008873,0.0,0.0,0.0
SLC9A3R2,0.0,6.096144313714557,0.0,0.0,0.0
TACC1,0.0,6.874292343447953,0.0,0.0,0.0
STOM,0.0,5.554951264185151,0.0,0.0,0.0
MGLL,0.0,6.175377822085223,0.0,0.0,5.137604846645871
